name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
melbourne,2024-09-05,66.1,57.9,62.2,66.1,57.9,62.2,43.7,52,0.01,100,8.33,rain,0,0,40.9,16,4.1,1013.7,98.5,9.8,25,2.1,2,10,2024-09-05T06:35:42,2024-09-05T18:02:35,0.07,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,"95874099999,94866099999,C7520,95936099999,95866099999,94865099999,94864099999"
melbourne,2024-09-06,75.3,56.1,64.8,75.3,56.1,64.8,47.8,57.1,0.062,100,8.33,rain,0,0,46.5,16.8,338.3,1012.6,91.1,10.3,54.8,4.8,5,10,2024-09-06T06:34:12,2024-09-06T18:03:25,0.1,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"95874099999,94866099999,C7520,95936099999,95866099999,94865099999,94864099999"
melbourne,2024-09-07,66.4,49.6,58.3,66.4,47.4,58.2,43.5,60.7,0.005,100,4.17,rain,0,0,17.2,12.6,310.5,1022.2,37.8,9.9,145.1,12.5,6,10,2024-09-07T06:32:41,2024-09-07T18:04:15,0.13,"Rain, Partially cloudy",Becoming cloudy in the afternoon with morning rain.,rain,"95874099999,94866099999,C7520,95936099999,95866099999,94865099999,94864099999"
melbourne,2024-09-08,62.8,51.7,57.3,62.8,51.7,57.3,45.5,65.4,0.007,100,4.17,rain,0,0,33.3,16.3,333.7,1017.4,51,9.6,112.1,9.6,7,10,2024-09-08T06:31:10,2024-09-08T18:05:05,0.17,"Rain, Partially cloudy",Becoming cloudy in the afternoon with late afternoon rain.,rain,"95874099999,94866099999,C7520,95936099999,95866099999,94865099999,94864099999"
melbourne,2024-09-09,61.8,51.7,56.7,61.8,51.7,56.7,43.7,62.4,0.088,100,4.17,rain,0,0,21.7,14.9,301.1,1018,66.4,10.3,123.8,10.6,6,10,2024-09-09T06:29:39,2024-09-09T18:05:55,0.2,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"95874099999,94866099999,C7520,95936099999,95866099999,94865099999,94864099999"
melbourne,2024-09-10,67.3,45.1,57.3,67.3,45.1,57.3,44.5,63.6,0.007,100,4.17,rain,0,0,17.2,13.8,354.8,1022.6,54,11.5,188.1,16.2,7,10,2024-09-10T06:28:07,2024-09-10T18:06:46,0.23,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"95874099999,94866099999,C7520,95936099999,95866099999,94865099999,94864099999"
melbourne,2024-09-11,66.4,52.8,57,66.4,52.8,57,48.2,73.6,0.009,100,8.33,rain,0,0,28.6,9.6,240.3,1022.4,93.3,10.1,71.4,6.3,4,10,2024-09-11T06:26:35,2024-09-11T18:07:36,0.25,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"95874099999,94866099999,C7520,95936099999,95866099999,94865099999,94864099999"
melbourne,2024-09-12,57.2,48.8,53.1,57.2,46.8,52.9,40.6,62.8,0.314,100,8.33,rain,0,0,20.8,10.8,180.8,1029.9,36.8,10.3,191.2,16.5,8,10,2024-09-12T06:25:03,2024-09-12T18:08:26,0.3,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"95874099999,94866099999,C7520,95936099999,95866099999,94865099999,94864099999"
melbourne,2024-09-13,60,48.6,54.6,60,44.7,54.3,45.3,71.1,0.001,100,4.17,rain,0,0,16.6,9.4,244.3,1029.1,77.8,10.2,71.9,6.2,3,10,2024-09-13T06:23:30,2024-09-13T18:09:16,0.33,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"YMAV,95874099999,94866099999,C7520,95936099999,95866099999,94865099999,YMML,94864099999"
melbourne,2024-09-14,50.7,47.1,48.9,50.7,42.5,45.5,40.7,73.9,0.133,100,8.33,rain,0,0,25.7,14.7,205.3,1028.7,67,7.8,93.3,8.2,4,10,2024-09-14T06:21:57,2024-09-14T18:10:07,0.37,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"YMAV,95874099999,94866099999,C7520,95936099999,YMML,95866099999,94865099999,94864099999"
